date,sustainable boots,hiking boots,vegan boots,waterproof boots,geo,window,source,url,accessed,note
2021-06-27,0,16,4,11,GB,5-year weekly,Google Trends via pytrends,"https://trends.google.com/trends/explore?q=sustainable+boots,hiking+boots,waterproof+boots,vegan+boots&geo=GB&date=today+5-y",29 Jun 2026,'sustainable boots' = 0 throughout (below measurable threshold)
2021-07-04,0,18,4,16,GB,5-year weekly,Google Trends via pytrends,"https://trends.google.com/trends/explore?q=sustainable+boots,hiking+boots,waterproof+boots,vegan+boots&geo=GB&date=today+5-y",29 Jun 2026,'sustainable boots' = 0 throughout (below measurable threshold)
2021-07-11,0,15,3,11,GB,5-year weekly,Google Trends via pytrends,"https://trends.google.com/trends/explore?q=sustainable+boots,hiking+boots,waterproof+boots,vegan+boots&geo=GB&date=today+5-y",29 Jun 2026,'sustainable boots' = 0 throughout (below measurable threshold)
2021-07-18,0,11,2,7,GB,5-year weekly,Google Trends via pytrends,"https://trends.google.com/trends/explore?q=sustainable+boots,hiking+boots,waterproof+boots,vegan+boots&geo=GB&date=today+5-y",29 Jun 2026,'sustainable boots' = 0 throughout (below measurable threshold)
2021-07-25,0,17,3,14,GB,5-year weekly,Google Trends via pytrends,"https://trends.google.com/trends/explore?q=sustainable+boots,hiking+boots,waterproof+boots,vegan+boots&geo=GB&date=today+5-y",29 Jun 2026,'sustainable boots' = 0 throughout (below measurable threshold)
2021-08-01,0,19,3,17,GB,5-year weekly,Google Trends via pytrends,"https://trends.google.com/trends/explore?q=sustainable+boots,hiking+boots,waterproof+boots,vegan+boots&geo=GB&date=today+5-y",29 Jun 2026,'sustainable boots' = 0 throughout (below measurable threshold)
2021-08-08,0,18,4,18,GB,5-year weekly,Google Trends via pytrends,"https://trends.google.com/trends/explore?q=sustainable+boots,hiking+boots,waterproof+boots,vegan+boots&geo=GB&date=today+5-y",29 Jun 2026,'sustainable boots' = 0 throughout (below measurable threshold)
2021-08-15,0,21,4,18,GB,5-year weekly,Google Trends via pytrends,"https://trends.google.com/trends/explore?q=sustainable+boots,hiking+boots,waterproof+boots,vegan+boots&geo=GB&date=today+5-y",29 Jun 2026,'sustainable boots' = 0 throughout (below measurable threshold)
2021-08-22,0,19,5,18,GB,5-year weekly,Google Trends via pytrends,"https://trends.google.com/trends/explore?q=sustainable+boots,hiking+boots,waterproof+boots,vegan+boots&geo=GB&date=today+5-y",29 Jun 2026,'sustainable boots' = 0 throughout (below measurable threshold)
2021-08-29,0,20,5,19,GB,5-year weekly,Google Trends via pytrends,"https://trends.google.com/trends/explore?q=sustainable+boots,hiking+boots,waterproof+boots,vegan+boots&geo=GB&date=today+5-y",29 Jun 2026,'sustainable boots' = 0 throughout (below measurable threshold)
